source,target,kind
a11oy-factory,hub:second_brain,synapse
anatomy,hub:anatomy,synapse
ayllu,hub:second_brain,synapse
cosmos,hub:anatomy,synapse
counsel-assurance,hub:second_brain,synapse
energy-attest-holo,hub:ouroboros,synapse
energy-attested-runs,hub:ouroboros,synapse
evidence-studio,hub:second_brain,synapse
experiments,hub:ouroboros,synapse
frontier-bench,hub:ouroboros,synapse
gdw-frontier,hub:second_brain,synapse
governed-agent-bench,hub:ouroboros,synapse
governed-norm-holo,hub:ouroboros,synapse
governed-receipt-verifier,hub:ouroboros,synapse
guardrail-receipt,hub:ouroboros,synapse
hatun-mcp,hub:second_brain,synapse
holographic,hub:anatomy,synapse
immune,hub:second_brain,synapse
immune-lattice,hub:anatomy,synapse
khipu-lab,hub:ouroboros,synapse
lambda-gate-holo,hub:ouroboros,synapse
llm-router-live,hub:ouroboros,synapse
lyte-lattice,hub:anatomy,synapse
lyte-services,hub:second_brain,synapse
nexus,hub:anatomy,synapse
prove-it,hub:ouroboros,synapse
puriq-markets,hub:second_brain,synapse
quant-curve,hub:ouroboros,synapse
receipt-chain-live,hub:ouroboros,synapse
retrieval-bench,hub:ouroboros,synapse
sda,hub:second_brain,synapse
second-brain,hub:second_brain,synapse
szl-atelier,hub:anatomy,synapse
szl-blocked-live,hub:ouroboros,synapse
szl-command-lab,hub:anatomy,synapse
szl-estate-live,hub:ouroboros,synapse
szl-experiments,hub:ouroboros,synapse
szl-forge-lab,hub:ouroboros,synapse
szl-frontier,hub:second_brain,synapse
szl-govsign-live,hub:ouroboros,synapse
szl-kernels-live,hub:ouroboros,synapse
szl-khipu,hub:ouroboros,synapse
szl-model-inference-lab,hub:ouroboros,synapse
szl-provctl-live,hub:ouroboros,synapse
szl-quant-live,hub:ouroboros,synapse
szl-real-estate,hub:second_brain,synapse
szl-sovereign-os,hub:second_brain,synapse
terra-assurance,hub:second_brain,synapse
yarqa,hub:ouroboros,synapse
hub:second_brain,hub:anatomy,trinity
hub:second_brain,hub:ouroboros,trinity
hub:anatomy,hub:ouroboros,trinity
vertical:killinchu,hub:second_brain,governed-by
vertical:sentra,hub:second_brain,governed-by
vertical:puriq,hub:second_brain,governed-by
vertical:terra,hub:second_brain,governed-by
vertical:lyte,hub:second_brain,governed-by
vertical:counsel,hub:second_brain,governed-by
vertical:finance,hub:second_brain,governed-by
vertical:david-leads,hub:second_brain,governed-by
sda,vertical:killinchu,wired-into
immune,vertical:sentra,wired-into
puriq-markets,vertical:puriq,wired-into
szl-real-estate,vertical:terra,wired-into
terra-assurance,vertical:terra,wired-into
a11oy-factory,vertical:lyte,wired-into
lyte-lattice,vertical:lyte,wired-into
lyte-services,vertical:lyte,wired-into
ayllu,vertical:counsel,wired-into
counsel-assurance,vertical:counsel,wired-into
vertical:killinchu,substrate:platform,runs-on
vertical:killinchu,substrate:szl-substrate,runs-on
vertical:killinchu,substrate:szl-receipt,runs-on
vertical:killinchu,substrate:khipu-consensus,runs-on
vertical:killinchu,substrate:hatun-mcp,runs-on
vertical:killinchu,substrate:szl-frontier,runs-on
vertical:killinchu,substrate:szl-sovereign-os,runs-on
vertical:sentra,substrate:platform,runs-on
vertical:sentra,substrate:szl-substrate,runs-on
vertical:sentra,substrate:szl-receipt,runs-on
vertical:sentra,substrate:khipu-consensus,runs-on
vertical:sentra,substrate:hatun-mcp,runs-on
vertical:sentra,substrate:szl-frontier,runs-on
vertical:sentra,substrate:szl-sovereign-os,runs-on
vertical:puriq,substrate:platform,runs-on
vertical:puriq,substrate:szl-substrate,runs-on
vertical:puriq,substrate:szl-receipt,runs-on
vertical:puriq,substrate:khipu-consensus,runs-on
vertical:puriq,substrate:hatun-mcp,runs-on
vertical:puriq,substrate:szl-frontier,runs-on
vertical:puriq,substrate:szl-sovereign-os,runs-on
vertical:terra,substrate:platform,runs-on
vertical:terra,substrate:szl-substrate,runs-on
vertical:terra,substrate:szl-receipt,runs-on
vertical:terra,substrate:khipu-consensus,runs-on
vertical:terra,substrate:hatun-mcp,runs-on
vertical:terra,substrate:szl-frontier,runs-on
vertical:terra,substrate:szl-sovereign-os,runs-on
vertical:lyte,substrate:platform,runs-on
vertical:lyte,substrate:szl-substrate,runs-on
vertical:lyte,substrate:szl-receipt,runs-on
vertical:lyte,substrate:khipu-consensus,runs-on
vertical:lyte,substrate:hatun-mcp,runs-on
vertical:lyte,substrate:szl-frontier,runs-on
vertical:lyte,substrate:szl-sovereign-os,runs-on
vertical:counsel,substrate:platform,runs-on
vertical:counsel,substrate:szl-substrate,runs-on
vertical:counsel,substrate:szl-receipt,runs-on
vertical:counsel,substrate:khipu-consensus,runs-on
vertical:counsel,substrate:hatun-mcp,runs-on
vertical:counsel,substrate:szl-frontier,runs-on
vertical:counsel,substrate:szl-sovereign-os,runs-on
vertical:finance,substrate:platform,runs-on
vertical:finance,substrate:szl-substrate,runs-on
vertical:finance,substrate:szl-receipt,runs-on
vertical:finance,substrate:khipu-consensus,runs-on
vertical:finance,substrate:hatun-mcp,runs-on
vertical:finance,substrate:szl-frontier,runs-on
vertical:finance,substrate:szl-sovereign-os,runs-on
vertical:david-leads,substrate:platform,runs-on
vertical:david-leads,substrate:szl-substrate,runs-on
vertical:david-leads,substrate:szl-receipt,runs-on
vertical:david-leads,substrate:khipu-consensus,runs-on
vertical:david-leads,substrate:hatun-mcp,runs-on
vertical:david-leads,substrate:szl-frontier,runs-on
vertical:david-leads,substrate:szl-sovereign-os,runs-on
